,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,32,16,16,.500,-5.71,-2.26,,8,8,,10,5,,5,10,,2260,2250,,1290,819,1845,.444,146,483,.302,476,666,.715,355,1081,421,331,94,476,670
2,Air Force,32,4,28,.125,-8.00,3.72,,1,19,,3,13,,0,14,,1982,2357,,1290,680,1616,.421,259,783,.331,363,572,.635,236,956,428,181,91,433,571
3,Akron NCAA,35,28,7,.800,3.34,-3.64,,17,1,,16,0,,8,4,,2941,2627,,1405,1060,2260,.469,376,1038,.362,445,590,.754,414,1347,621,267,131,414,623
4,Alabama NCAA,34,26,8,.765,25.24,15.57,,13,5,,12,3,,9,3,,3097,2768,,1370,1060,2184,.485,350,1004,.349,627,877,.715,431,1459,580,207,152,434,644
5,Alabama A&M,32,10,22,.313,-20.50,-9.91,,6,12,,8,9,,2,12,,2337,2521,,1300,795,1966,.404,257,807,.318,490,738,.664,447,1172,432,266,131,513,687
6,Alabama State NCAA,36,20,16,.556,-8.88,-8.08,,12,6,,8,3,,6,10,,2630,2607,,1445,927,2290,.405,320,978,.327,456,665,.686,417,1303,418,285,101,327,662
7,Albany (NY),33,17,16,.515,-10.09,-8.49,,8,8,,6,7,,8,8,,2463,2437,,1335,901,2044,.441,238,736,.323,423,591,.716,392,1117,414,273,77,357,575
8,Alcorn State,32,11,21,.344,-13.95,-6.85,,11,7,,6,3,,5,17,,2081,2307,,1285,754,1833,.411,171,538,.318,402,561,.717,377,1087,329,211,86,418,544
9,American NCAA,35,22,13,.629,-7.55,-6.76,,13,5,,14,2,,5,10,,2406,2370,,1420,840,1893,.444,299,859,.348,427,566,.754,270,1057,441,229,66,389,625
10,Appalachian State,31,17,14,.548,-2.46,-3.70,,10,8,,10,4,,5,8,,2102,1970,,1245,738,1692,.436,240,697,.344,386,593,.651,304,1145,389,171,114,335,414
11,Arizona NCAA,35,23,12,.657,23.23,13.40,,14,6,,13,3,,6,5,,2872,2528,,1410,1016,2136,.476,244,741,.329,596,766,.778,431,1399,575,267,155,406,582
12,Arizona State,32,13,19,.406,11.09,13.63,,4,16,,5,9,,3,8,,2366,2447,,1295,804,1836,.438,281,786,.358,477,659,.724,282,1093,412,172,142,395,543
13,Arkansas NCAA,34,21,13,.618,16.61,11.11,,8,10,,14,4,,4,6,,2607,2420,,1365,924,1987,.465,241,730,.330,518,703,.737,316,1199,490,262,192,395,546
14,Arkansas State,35,25,10,.714,5.89,-2.62,,13,5,,14,2,,8,5,,2795,2463,,1410,962,2248,.428,331,1017,.325,540,743,.727,468,1428,502,259,158,371,644
15,Arkansas-Pine Bluff,31,6,25,.194,-24.25,-8.36,,3,15,,4,8,,2,17,,2242,2602,,1240,834,1838,.454,225,696,.323,349,589,.593,306,1053,452,220,66,449,588
16,Army,31,16,15,.516,-12.66,-7.45,,10,8,,12,4,,4,11,,2268,2327,,1270,842,1911,.441,253,805,.314,331,483,.685,312,1082,438,207,68,319,482
17,Auburn NCAA,34,29,5,.853,28.73,14.31,,15,3,,13,2,,8,2,,2850,2360,,1365,1007,2091,.482,314,859,.366,522,713,.732,399,1269,560,232,207,317,631
18,Austin Peay,33,14,19,.424,-9.41,-3.71,,8,10,,8,5,,4,13,,2362,2472,,1335,836,1980,.422,280,810,.346,410,570,.719,326,1085,416,229,87,327,589
19,Ball State,31,14,17,.452,-7.80,-6.34,,7,11,,8,7,,4,9,,2336,2300,,1250,781,1718,.455,221,641,.345,553,785,.704,292,1101,407,154,67,363,507
20,Baylor NCAA,34,20,14,.588,19.35,13.59,,10,10,,13,3,,3,9,,2598,2354,,1385,921,2057,.448,286,821,.348,470,630,.746,436,1224,495,262,98,373,554
21,Bellarmine,31,5,26,.161,-15.00,-4.62,,2,16,,5,10,,0,16,,2252,2484,,1250,814,1743,.467,281,776,.362,343,444,.773,205,909,439,197,53,371,522
22,Belmont,33,22,11,.667,2.04,-0.03,,13,7,,11,5,,9,4,,2618,2529,,1325,945,2033,.465,347,905,.383,381,530,.719,317,1142,568,229,104,371,514
23,Bethune-Cookman,33,17,16,.515,-10.12,-6.61,,13,5,,8,2,,7,12,,2265,2381,,1320,800,1870,.428,202,634,.319,463,671,.690,334,1175,423,220,121,448,531
24,Binghamton,32,15,17,.469,-13.72,-9.11,,7,9,,8,4,,5,12,,2233,2287,,1295,800,1735,.461,227,633,.359,404,583,.693,284,1149,415,153,96,431,525
25,Boise State,34,24,10,.706,13.60,5.57,,14,6,,13,2,,6,5,,2546,2246,,1365,862,1878,.459,248,799,.310,572,736,.777,361,1235,487,182,90,379,546
26,Boston College,31,12,19,.387,-0.13,5.26,,4,16,,9,8,,0,10,,2182,2349,,1275,783,1811,.432,206,597,.345,410,570,.719,318,1065,355,162,121,368,571
27,Boston University,32,16,16,.500,-10.89,-8.28,,10,8,,12,4,,3,12,,2148,2191,,1300,768,1752,.438,250,740,.338,362,546,.663,349,1124,381,194,83,423,515
28,Bowling Green State,32,14,18,.438,-9.41,-5.98,,8,10,,8,8,,5,8,,2352,2366,,1280,815,1857,.439,255,745,.342,467,626,.746,297,1100,359,232,102,392,556
29,Bradley,35,27,8,.771,6.42,0.07,,15,5,,14,3,,8,3,,2683,2401,,1420,941,1955,.481,334,840,.398,467,624,.748,293,1209,507,233,135,399,586
30,Brigham Young NCAA,34,25,9,.735,19.78,9.72,,14,6,,15,2,,6,5,,2752,2410,,1385,977,2024,.483,360,972,.370,438,622,.704,380,1277,581,242,108,412,548
31,Brown,27,14,13,.519,-5.04,-4.12,,6,8,,8,6,,6,7,,1950,1933,,1095,723,1613,.448,221,659,.335,283,448,.632,296,979,398,160,142,314,424
32,Bryant NCAA,35,23,12,.657,-1.98,-6.82,,14,2,,12,3,,9,7,,2862,2598,,1405,1054,2304,.457,271,814,.333,483,676,.714,465,1439,522,233,210,415,548
33,Bucknell,33,18,15,.545,-5.26,-6.14,,13,5,,12,4,,6,10,,2443,2414,,1380,862,1850,.466,268,759,.353,451,679,.664,281,1117,448,219,106,433,587
34,Buffalo,31,9,22,.290,-15.04,-3.80,,4,14,,6,9,,3,13,,2226,2508,,1240,776,1821,.426,243,800,.304,431,616,.700,286,1069,419,209,109,451,517
35,Butler,33,14,19,.424,10.26,10.23,,6,14,,9,8,,2,9,,2437,2436,,1325,830,1822,.456,273,745,.366,504,679,.742,283,1155,461,134,93,365,444
36,Cal Poly,35,16,19,.457,-2.26,-0.47,,8,12,,9,5,,5,13,,2873,2901,,1420,1011,2187,.462,403,1114,.362,448,585,.766,352,1221,535,275,75,550,630
37,Cal State Bakersfield,33,14,19,.424,-5.73,-2.05,,8,12,,9,6,,4,11,,2434,2430,,1330,851,1944,.438,218,573,.380,514,666,.772,424,1173,334,225,92,416,671
38,Cal State Fullerton,32,6,26,.188,-15.74,0.59,,1,19,,4,11,,2,15,,2024,2475,,1280,683,1701,.402,156,575,.271,502,677,.742,303,1064,288,170,62,474,568
39,Cal State Northridge,33,22,11,.667,2.02,-3.17,,14,6,,10,3,,10,7,,2650,2406,,1325,952,2035,.468,219,634,.345,527,727,.725,423,1322,539,250,95,452,679
40,California,33,14,19,.424,5.59,6.81,,6,14,,11,6,,2,11,,2494,2534,,1360,838,2002,.419,238,756,.315,580,778,.746,443,1238,345,208,122,383,544
41,California Baptist,32,17,15,.531,-1.03,-2.24,,9,7,,11,5,,4,8,,2280,2241,,1295,818,1915,.427,213,671,.317,431,569,.757,384,1152,373,212,86,386,551
42,Campbell,32,15,17,.469,-5.18,-4.75,,10,8,,8,6,,7,10,,2246,2169,,1285,792,1804,.439,240,745,.322,422,547,.771,264,1016,430,220,98,335,516
43,Canisius,31,3,28,.097,-19.07,-5.23,,3,17,,1,12,,2,15,,2008,2437,,1240,729,1673,.436,254,692,.367,296,390,.759,180,802,348,191,75,380,495
44,Central Arkansas,33,9,24,.273,-14.94,-4.07,,4,14,,7,7,,1,17,,2318,2578,,1350,817,1995,.410,283,962,.294,401,558,.719,368,1180,453,242,78,408,448
45,Central Connecticut State,32,25,7,.781,-4.68,-10.79,,14,2,,12,3,,11,3,,2312,2012,,1285,870,1827,.476,226,654,.346,346,466,.742,273,1137,456,242,134,361,360
46,Central Michigan,31,14,17,.452,-4.37,-2.67,,7,11,,8,6,,6,10,,2341,2237,,1250,835,1807,.462,198,610,.325,473,655,.722,331,1120,420,228,90,380,512
47,Charleston Southern,32,10,22,.313,-11.02,-2.36,,6,10,,7,5,,3,14,,2307,2503,,1295,769,1808,.425,233,767,.304,536,810,.662,376,1187,367,151,88,433,558
48,Charlotte,33,11,22,.333,-5.28,-0.46,,3,15,,8,8,,1,12,,2328,2460,,1345,761,1808,.421,231,745,.310,575,768,.749,291,1036,405,168,72,329,573
49,Chattanooga,34,25,9,.735,1.05,-4.14,,15,3,,13,3,,11,5,,2711,2478,,1390,958,1989,.482,328,906,.362,467,608,.768,280,1134,579,233,101,351,548
50,Chicago State,32,4,28,.125,-20.78,-4.25,,4,12,,3,6,,1,18,,2001,2518,,1290,709,1858,.382,232,759,.306,351,498,.705,273,981,344,235,114,412,607
51,Cincinnati,33,18,15,.545,14.49,9.67,,7,13,,12,5,,4,9,,2328,2169,,1320,888,1983,.448,242,756,.320,310,464,.668,371,1138,452,242,145,338,459
52,Clemson NCAA,34,27,7,.794,17.94,7.65,,18,2,,15,2,,9,3,,2586,2236,,1390,930,2012,.462,288,781,.369,438,570,.768,383,1202,484,252,119,358,518
53,Cleveland State,33,21,12,.636,-1.82,-3.99,,14,6,,14,4,,7,7,,2403,2178,,1325,880,1954,.450,214,641,.334,429,593,.723,401,1131,459,288,156,389,590
54,Coastal Carolina,32,10,22,.313,-12.02,-5.82,,3,15,,6,8,,3,13,,2136,2275,,1285,740,1728,.428,239,689,.347,417,594,.702,321,1171,367,105,53,382,566
55,Colgate,33,14,19,.424,-7.65,-6.34,,10,8,,10,4,,4,13,,2379,2388,,1330,888,1897,.468,287,806,.356,316,433,.730,256,1067,467,211,80,372,492
56,College of Charleston,33,24,9,.727,-0.40,-3.18,,13,5,,13,2,,7,5,,2549,2437,,1340,892,1962,.455,276,782,.353,489,683,.716,307,1189,525,214,76,377,513
57,Colorado,34,14,20,.412,10.41,11.97,,3,17,,11,7,,0,10,,2377,2430,,1370,824,1849,.446,222,689,.322,507,672,.754,319,1190,481,240,133,491,570
58,Colorado State NCAA,35,26,9,.743,13.77,5.63,,16,4,,14,2,,7,4,,2636,2351,,1415,924,1934,.478,305,834,.366,481,621,.775,289,1218,579,182,95,406,606
59,Columbia,27,12,15,.444,-9.06,-5.58,,1,13,,9,6,,3,9,,2117,2109,,1080,771,1655,.466,222,659,.337,353,480,.735,259,940,470,210,57,295,415
60,Connecticut NCAA,34,24,10,.706,17.92,8.60,,14,6,,14,2,,7,4,,2621,2304,,1380,930,1944,.478,291,829,.351,470,596,.789,378,1216,590,182,215,383,618
61,Coppin State,30,6,24,.200,-21.09,-5.54,,4,10,,5,6,,1,17,,1867,2292,,1205,653,1644,.397,155,528,.294,406,596,.681,290,919,336,244,57,447,520
62,Cornell,29,18,11,.621,1.02,-3.65,,9,5,,9,5,,8,5,,2467,2248,,1160,886,1770,.501,325,865,.376,370,490,.755,258,1015,554,183,94,347,473
63,Creighton NCAA,35,25,10,.714,16.69,10.75,,15,5,,15,2,,6,5,,2647,2439,,1410,949,1988,.477,332,971,.342,417,571,.730,299,1319,598,128,160,429,383
64,Dartmouth,28,14,14,.500,-4.60,-5.29,,8,6,,9,4,,5,9,,2166,2013,,1125,748,1710,.437,284,806,.352,386,520,.742,250,1062,441,144,86,322,417
65,Davidson,33,17,16,.515,1.30,0.74,,6,12,,11,6,,4,7,,2393,2334,,1320,859,1891,.454,266,786,.338,409,548,.746,267,1095,491,188,83,318,488
66,Dayton,33,23,10,.697,9.09,4.40,,12,6,,16,2,,6,4,,2492,2321,,1340,849,1851,.459,271,756,.358,523,704,.743,321,1132,503,235,116,345,515
67,Delaware,36,16,20,.444,-5.90,-3.93,,5,13,,8,7,,3,11,,2780,2803,,1440,988,2081,.475,316,849,.372,488,624,.782,267,1151,510,230,108,426,597
68,Delaware State,30,16,14,.533,-12.09,-8.90,,8,6,,11,2,,3,11,,2360,2229,,1210,871,1889,.461,155,420,.369,463,640,.723,399,1122,419,259,78,379,545
69,Denver,32,11,21,.344,-10.25,-2.87,,5,11,,8,6,,3,12,,2316,2483,,1300,820,1825,.449,232,669,.347,444,600,.740,282,986,367,219,81,405,718
70,DePaul,33,14,19,.424,5.91,7.34,,4,16,,11,8,,2,10,,2402,2449,,1350,860,1926,.447,309,893,.346,373,528,.706,306,1140,518,202,120,407,543
71,Detroit Mercy,32,8,24,.250,-13.42,-3.07,,4,16,,6,7,,2,15,,2146,2428,,1300,781,1897,.412,180,546,.330,404,550,.735,384,1207,347,185,79,416,605
72,Drake NCAA,34,31,3,.912,9.67,0.67,,17,3,,14,2,,10,1,,2380,1985,,1385,823,1705,.483,224,627,.357,510,730,.699,348,1054,458,311,83,383,539
73,Drexel,33,18,15,.545,-3.45,-5.42,,9,9,,8,6,,7,7,,2322,2207,,1345,870,1898,.458,254,706,.360,328,469,.699,364,1214,430,161,150,402,486
74,Duke NCAA,35,32,3,.914,30.27,8.81,,19,1,,17,0,,10,1,,2905,2154,,1400,1016,2080,.488,358,949,.377,515,657,.784,388,1357,591,244,134,328,552
75,Duquesne,32,13,19,.406,1.53,1.24,,8,10,,9,7,,2,8,,2212,2155,,1290,795,1838,.433,268,786,.341,354,544,.651,374,1091,442,227,136,387,564
76,East Carolina,33,19,14,.576,-0.52,-0.65,,10,8,,12,6,,4,6,,2502,2434,,1345,879,2015,.436,222,703,.316,522,725,.720,425,1226,438,249,149,359,516
77,East Tennessee State,32,19,13,.594,-1.09,-5.22,,12,6,,13,3,,6,9,,2301,2128,,1280,815,1880,.434,271,779,.348,400,605,.661,404,1186,415,257,121,347,521
78,East Texas A&M,31,5,26,.161,-12.43,-1.92,,3,17,,4,10,,1,16,,1995,2321,,1245,713,1714,.416,260,828,.314,309,480,.644,304,948,439,260,122,475,520
79,Eastern Illinois,31,12,19,.387,-12.55,-5.83,,8,12,,7,7,,4,12,,2062,2140,,1250,742,1801,.412,166,520,.319,412,608,.678,358,1094,350,278,85,387,577
80,Eastern Kentucky,32,18,14,.563,-3.60,-4.20,,12,6,,10,3,,7,9,,2491,2408,,1300,883,2081,.424,306,884,.346,419,559,.750,431,1183,417,276,112,315,535
81,Eastern Michigan,32,16,16,.500,-9.12,-5.28,,9,9,,9,5,,6,10,,2355,2449,,1290,833,1812,.460,241,690,.349,448,608,.737,321,1043,400,223,109,416,577
82,Eastern Washington,32,10,22,.313,-8.63,-1.90,,6,12,,8,6,,2,14,,2283,2415,,1280,818,1792,.456,216,664,.325,431,554,.778,273,963,437,241,100,401,583
83,Elon,32,17,15,.531,-3.71,-4.51,,8,10,,10,4,,6,9,,2355,2232,,1285,795,1803,.441,250,766,.326,515,690,.746,408,1274,390,167,131,399,425
84,Evansville,32,11,21,.344,-6.00,0.36,,8,12,,7,9,,4,11,,2113,2263,,1280,761,1759,.433,218,719,.303,373,535,.697,245,1054,403,192,140,377,527
85,Fairfield,32,12,20,.375,-14.34,-7.50,,8,12,,8,6,,3,12,,2161,2324,,1285,784,1925,.407,230,729,.316,363,500,.726,351,1054,404,218,96,331,522
86,FDU,33,13,20,.394,-11.45,-7.59,,8,8,,9,4,,4,14,,2431,2415,,1341,849,1946,.436,275,819,.336,458,644,.711,321,1120,449,229,89,387,530
87,Florida NCAA,35,31,4,.886,27.43,10.97,,14,4,,15,1,,7,3,,2999,2423,,1400,1058,2237,.473,347,981,.354,536,742,.722,491,1470,559,270,164,374,603
88,Florida A&M,31,14,17,.452,-13.26,-5.91,,10,8,,9,3,,4,13,,2235,2334,,1242,758,1721,.440,279,807,.346,440,617,.713,296,1058,392,162,100,425,548
89,Florida Atlantic,34,18,16,.529,3.91,2.15,,10,8,,8,6,,6,7,,2677,2569,,1375,954,2059,.463,296,840,.352,473,679,.697,377,1254,548,213,147,390,586
90,Florida Gulf Coast,32,18,14,.563,-2.26,-4.55,,13,5,,11,5,,7,9,,2321,2233,,1280,883,1874,.471,257,724,.355,298,432,.690,315,1125,452,179,75,338,471
91,Florida International,33,10,23,.303,-6.59,-1.52,,3,15,,7,8,,1,13,,2285,2380,,1340,821,1932,.425,168,585,.287,475,672,.707,378,1159,403,297,153,451,560
92,Florida State,32,17,15,.531,8.54,6.54,,8,12,,11,5,,2,9,,2383,2319,,1285,834,1838,.454,196,619,.317,519,724,.717,326,1107,417,243,152,393,611
93,Fordham,33,12,21,.364,-4.11,0.92,,3,15,,8,8,,2,10,,2452,2573,,1335,850,2008,.423,272,836,.325,480,668,.719,400,1198,452,250,115,434,618
94,Fresno State,32,6,26,.188,-5.51,4.49,,2,18,,5,9,,1,14,,2262,2582,,1315,782,1927,.406,213,680,.313,485,701,.692,338,1113,344,242,103,412,494
95,Furman,35,25,10,.714,-0.20,-3.33,,11,7,,13,3,,9,6,,2702,2443,,1415,927,2024,.458,380,1037,.366,468,681,.687,368,1269,593,229,114,391,522
96,Gardner-Webb,31,11,20,.355,-8.09,-3.74,,5,11,,5,6,,3,13,,2287,2422,,1240,824,1775,.464,194,588,.330,445,643,.692,356,1129,325,161,101,453,583
97,George Mason,35,27,8,.771,7.77,0.97,,15,3,,18,1,,7,6,,2497,2221,,1430,848,1859,.456,243,685,.355,558,783,.713,358,1284,446,261,118,454,579
98,George Washington,33,21,12,.636,2.83,-1.92,,9,9,,13,4,,5,6,,2430,2238,,1335,830,1858,.447,245,773,.317,523,747,.700,363,1159,463,295,102,407,499
99,Georgetown,32,17,15,.531,8.66,5.81,,8,12,,14,5,,3,9,,2293,2202,,1280,857,1926,.445,229,720,.318,350,496,.706,356,1125,458,254,122,374,499
100,Georgia NCAA,33,20,13,.606,16.41,10.98,,8,10,,15,3,,3,7,,2486,2307,,1320,860,1870,.460,228,692,.329,538,750,.717,391,1203,411,256,169,426,548
101,Georgia Southern,33,17,16,.515,-7.40,-5.34,,8,10,,11,3,,4,11,,2449,2505,,1340,887,2063,.430,313,912,.343,362,550,.658,423,1234,450,260,123,444,648
102,Georgia State,33,14,19,.424,-7.41,-2.91,,8,10,,9,6,,3,11,,2479,2583,,1325,898,1998,.449,233,675,.345,450,656,.686,393,1255,401,173,97,391,523
103,Georgia Tech,34,17,17,.500,6.40,5.99,,10,10,,14,6,,2,9,,2485,2471,,1380,898,2045,.439,258,753,.343,431,627,.687,371,1262,504,201,126,414,537
104,Gonzaga NCAA,34,26,8,.765,24.02,6.91,,14,4,,13,2,,8,2,,2948,2366,,1375,1082,2160,.501,254,723,.351,530,663,.799,380,1312,672,256,101,323,573
105,Grambling,34,12,22,.353,-12.40,-7.53,,7,11,,6,7,,4,12,,2271,2301,,1370,800,1863,.429,219,648,.338,452,620,.729,300,1145,387,227,126,431,557
106,Grand Canyon NCAA,34,26,8,.765,5.13,-2.48,,13,3,,16,1,,5,4,,2661,2362,,1365,906,1988,.456,211,677,.312,638,873,.731,381,1266,469,312,175,448,594
107,Green Bay,32,4,28,.125,-13.19,-2.51,,2,18,,3,11,,1,17,,2237,2570,,1285,742,1716,.432,259,788,.329,494,630,.784,197,958,447,157,64,401,583
108,Hampton,33,17,16,.515,-4.99,-3.79,,8,10,,10,4,,4,9,,2391,2309,,1325,856,2010,.426,247,741,.333,430,604,.712,435,1196,391,248,100,356,602
109,Harvard,27,12,15,.444,-7.71,-3.75,,7,7,,7,5,,5,10,,1848,1945,,1085,679,1532,.443,197,611,.322,293,382,.767,224,854,369,199,77,322,383
110,Hawaii,31,15,16,.484,-3.43,-0.88,,7,13,,13,7,,2,9,,2173,2208,,1250,745,1658,.449,203,634,.320,480,650,.738,308,1103,368,110,73,418,548
111,High Point NCAA,35,29,6,.829,5.39,-5.10,,14,2,,16,1,,7,3,,2858,2413,,1405,1000,2031,.492,290,798,.363,568,746,.761,390,1263,454,214,100,363,633
112,Hofstra,33,15,18,.455,-4.78,-3.68,,6,12,,6,7,,5,9,,2202,2141,,1340,794,1861,.427,273,802,.340,341,477,.715,290,1173,447,196,130,371,580
113,Holy Cross,32,13,19,.406,-12.45,-7.28,,5,13,,7,6,,4,13,,2227,2307,,1290,824,1806,.456,292,754,.387,287,398,.721,239,1042,398,148,92,382,441
114,Houston NCAA,35,31,4,.886,28.39,12.02,,19,1,,16,1,,10,0,,2601,2028,,1425,943,2065,.457,284,717,.396,431,582,.741,436,1281,418,281,162,323,570
115,Houston Christian,32,12,20,.375,-8.23,-3.03,,9,11,,8,7,,4,12,,2111,2220,,1280,742,1753,.423,251,769,.326,376,547,.687,296,1000,348,252,115,374,435
116,Howard,32,12,20,.375,-11.87,-6.72,,7,7,,8,6,,3,11,,2480,2538,,1290,854,1837,.465,273,733,.372,499,675,.739,320,1090,507,180,97,478,612
117,Idaho,33,14,19,.424,-7.78,-3.27,,8,10,,8,6,,5,11,,2430,2493,,1325,823,1871,.440,308,885,.348,476,634,.751,337,1113,405,194,93,390,589
118,Idaho State,30,15,15,.500,-3.77,-3.84,,10,8,,10,4,,5,10,,2230,2099,,1205,779,1809,.431,221,681,.325,451,608,.742,422,1143,398,181,135,321,494
119,Illinois NCAA,34,22,12,.647,21.81,12.48,,12,8,,13,4,,5,5,,2852,2535,,1371,979,2171,.451,321,1022,.314,573,749,.765,441,1448,508,147,142,395,547
120,Illinois State,33,19,14,.576,1.87,-0.09,,10,10,,12,4,,5,7,,2492,2374,,1325,876,1833,.478,330,879,.375,410,548,.748,257,1065,479,188,56,344,549
